series,run_s,ccdf
PAMAP2 IMU (100 Hz),0.01,0.999946111979307
PAMAP2 IMU (100 Hz),0.01,0.999892223958614
PAMAP2 IMU (100 Hz),0.01,0.999838335937921
PAMAP2 IMU (100 Hz),0.01,0.999784447917228
PAMAP2 IMU (100 Hz),0.01,0.999730559896535
PAMAP2 IMU (100 Hz),0.01,0.999676671875842
PAMAP2 IMU (100 Hz),0.01,0.999622783855149
PAMAP2 IMU (100 Hz),0.01,0.999568895834456
PAMAP2 IMU (100 Hz),0.01,0.999515007813763
PAMAP2 IMU (100 Hz),0.01,0.99946111979307
PAMAP2 IMU (100 Hz),0.01,0.999407231772377
PAMAP2 IMU (100 Hz),0.01,0.999353343751684
PAMAP2 IMU (100 Hz),0.01,0.999299455730991
PAMAP2 IMU (100 Hz),0.01,0.999245567710298
PAMAP2 IMU (100 Hz),0.01,0.999191679689605
PAMAP2 IMU (100 Hz),0.01,0.999137791668912
PAMAP2 IMU (100 Hz),0.01,0.999083903648219
PAMAP2 IMU (100 Hz),0.01,0.999030015627526
PAMAP2 IMU (100 Hz),0.01,0.998976127606833
PAMAP2 IMU (100 Hz),0.01,0.99892223958614
PAMAP2 IMU (100 Hz),0.01,0.998868351565447
PAMAP2 IMU (100 Hz),0.01,0.998814463544754
PAMAP2 IMU (100 Hz),0.01,0.9987605755240611
PAMAP2 IMU (100 Hz),0.01,0.998706687503368
PAMAP2 IMU (100 Hz),0.01,0.998652799482675
PAMAP2 IMU (100 Hz),0.01,0.998598911461982
PAMAP2 IMU (100 Hz),0.01,0.998545023441289
PAMAP2 IMU (100 Hz),0.01,0.998491135420596
PAMAP2 IMU (100 Hz),0.01,0.998437247399903
PAMAP2 IMU (100 Hz),0.01,0.99838335937921
PAMAP2 IMU (100 Hz),0.01,0.998329471358517
PAMAP2 IMU (100 Hz),0.01,0.998275583337824
PAMAP2 IMU (100 Hz),0.01,0.998221695317131
PAMAP2 IMU (100 Hz),0.01,0.998167807296438
PAMAP2 IMU (100 Hz),0.01,0.998113919275745
PAMAP2 IMU (100 Hz),0.01,0.998060031255052
PAMAP2 IMU (100 Hz),0.01,0.998006143234359
PAMAP2 IMU (100 Hz),0.01,0.997952255213666
PAMAP2 IMU (100 Hz),0.01,0.997898367192973
PAMAP2 IMU (100 Hz),0.01,0.99784447917228
PAMAP2 IMU (100 Hz),0.01,0.997790591151587
PAMAP2 IMU (100 Hz),0.01,0.997736703130894
