dataset,series,run_s,ccdf
pamap2,empirical,0.01,0.999946111979307
pamap2,empirical,0.01,0.999892223958614
pamap2,empirical,0.01,0.999838335937921
pamap2,empirical,0.01,0.999784447917228
pamap2,empirical,0.01,0.999730559896535
pamap2,empirical,0.01,0.999676671875842
pamap2,empirical,0.01,0.999622783855149
pamap2,empirical,0.01,0.999568895834456
pamap2,empirical,0.01,0.999515007813763
pamap2,empirical,0.01,0.99946111979307
pamap2,empirical,0.01,0.999407231772377
pamap2,empirical,0.01,0.999353343751684
pamap2,empirical,0.01,0.999299455730991
pamap2,empirical,0.01,0.999245567710298
pamap2,empirical,0.01,0.999191679689605
pamap2,empirical,0.01,0.999137791668912
pamap2,empirical,0.01,0.999083903648219
pamap2,empirical,0.01,0.999030015627526
pamap2,empirical,0.01,0.998976127606833
pamap2,empirical,0.01,0.99892223958614
pamap2,empirical,0.01,0.998868351565447
pamap2,empirical,0.01,0.998814463544754
pamap2,empirical,0.01,0.9987605755240611
pamap2,empirical,0.01,0.998706687503368
pamap2,empirical,0.01,0.998652799482675
pamap2,empirical,0.01,0.998598911461982
pamap2,empirical,0.01,0.998545023441289
pamap2,empirical,0.01,0.998491135420596
pamap2,empirical,0.01,0.998437247399903
pamap2,empirical,0.01,0.99838335937921
pamap2,empirical,0.01,0.998329471358517
pamap2,empirical,0.01,0.998275583337824
pamap2,empirical,0.01,0.998221695317131
pamap2,empirical,0.01,0.998167807296438
pamap2,empirical,0.01,0.998113919275745
pamap2,empirical,0.01,0.998060031255052
pamap2,empirical,0.01,0.998006143234359
pamap2,empirical,0.01,0.997952255213666
pamap2,empirical,0.01,0.997898367192973
pamap2,empirical,0.01,0.99784447917228
pamap2,empirical,0.01,0.997790591151587
pamap2,empirical,0.01,0.997736703130894
pamap2,empirical,0.01,0.997682815110201
pamap2,empirical,0.01,0.997628927089508
pamap2,empirical,0.01,0.997575039068815
pamap2,empirical,0.01,0.997521151048122
pamap2,empirical,0.01,0.997467263027429
pamap2,empirical,0.01,0.997413375006736
pamap2,empirical,0.01,0.997359486986043
pamap2,empirical,0.01,0.99730559896535
pamap2,empirical,0.01,0.997251710944657
pamap2,empirical,0.01,0.997197822923964
pamap2,empirical,0.01,0.997143934903271
pamap2,empirical,0.01,0.997090046882578
pamap2,empirical,0.01,0.997036158861885
pamap2,empirical,0.01,0.996982270841192
pamap2,empirical,0.01,0.996928382820499
pamap2,empirical,0.01,0.996874494799806
pamap2,empirical,0.01,0.996820606779113
pamap2,empirical,0.01,0.99676671875842
