regime,dev1,dev2,dev3,t_min
iid,True,True,True,0.0
iid,True,True,True,0.0005555555555555556
iid,True,True,True,0.0011111111111111111
iid,True,True,True,0.0016666666666666668
iid,True,True,True,0.0022222222222222222
iid,True,True,True,0.0027777777777777775
iid,True,True,True,0.0033333333333333335
iid,True,True,True,0.0038888888888888888
iid,True,True,True,0.0044444444444444444
iid,True,True,True,0.005
iid,True,True,True,0.005555555555555555
iid,True,True,True,0.0061111111111111106
iid,True,True,True,0.006666666666666667
iid,True,True,True,0.007222222222222223
iid,True,True,True,0.0077777777777777776
iid,True,True,False,0.008333333333333333
iid,True,True,True,0.008888888888888889
iid,True,True,True,0.009444444444444445
iid,True,True,True,0.01
iid,True,True,True,0.010555555555555556
iid,True,True,True,0.01111111111111111
iid,True,True,True,0.011666666666666665
iid,True,True,True,0.012222222222222221
iid,True,True,True,0.012777777777777779
iid,True,True,True,0.013333333333333334
iid,True,True,True,0.01388888888888889
iid,True,True,True,0.014444444444444446
iid,True,True,True,0.015000000000000001
iid,True,True,True,0.015555555555555555
iid,True,True,True,0.01611111111111111
iid,True,True,True,0.016666666666666666
iid,True,True,True,0.017222222222222226
iid,True,True,True,0.017777777777777778
iid,True,True,True,0.018333333333333333
iid,True,True,True,0.01888888888888889
iid,True,True,True,0.019444444444444445
iid,True,True,True,0.02
iid,True,True,True,0.020555555555555556
iid,True,True,True,0.021111111111111112
iid,True,True,True,0.021666666666666667
iid,True,True,True,0.02222222222222222
iid,True,True,True,0.02277777777777778
iid,True,True,True,0.02333333333333333
iid,True,True,True,0.02388888888888889
iid,True,True,True,0.024444444444444442
iid,True,True,True,0.025
iid,True,True,True,0.025555555555555557
iid,True,True,True,0.02611111111111111
iid,True,True,True,0.02666666666666667
iid,True,True,True,0.02722222222222222
iid,True,True,True,0.02777777777777778
iid,False,True,True,0.028333333333333332
iid,True,True,True,0.02888888888888889
iid,True,True,True,0.029444444444444443
iid,True,True,True,0.030000000000000002
iid,True,True,True,0.030555555555555555
iid,True,True,True,0.03111111111111111
iid,True,True,True,0.03166666666666666
iid,True,True,True,0.03222222222222222
iid,True,True,True,0.032777777777777774
iid,True,True,True,0.03333333333333333
iid,True,False,True,0.033888888888888885
iid,True,True,True,0.03444444444444445
iid,True,True,True,0.035
iid,True,True,True,0.035555555555555556
iid,True,False,True,0.03611111111111111
iid,True,True,True,0.03666666666666667
iid,True,True,True,0.037222222222222226
iid,True,True,True,0.03777777777777778
iid,True,True,True,0.03833333333333333
iid,True,True,True,0.03888888888888889
iid,True,False,True,0.03944444444444444
iid,True,True,True,0.04
iid,True,False,True,0.04055555555555555
iid,True,True,True,0.04111111111111111
iid,True,True,True,0.041666666666666664
iid,True,True,True,0.042222222222222223
iid,True,True,True,0.04277777777777778
iid,True,True,False,0.043333333333333335
iid,True,True,True,0.04388888888888889
iid,True,True,True,0.04444444444444444
iid,True,True,True,0.045000000000000005
iid,True,True,True,0.04555555555555556
iid,True,True,True,0.04611111111111111
iid,True,True,True,0.04666666666666666
iid,True,True,True,0.04722222222222223
iid,True,True,True,0.04777777777777778
iid,True,True,True,0.04833333333333333
iid,True,True,True,0.048888888888888885
iid,True,True,True,0.049444444444444444
iid,True,True,True,0.05
iid,True,True,True,0.050555555555555555
iid,True,True,True,0.051111111111111114
iid,True,True,True,0.051666666666666666
iid,True,True,True,0.05222222222222222
iid,True,True,True,0.05277777777777778
iid,True,True,True,0.05333333333333334
iid,True,True,True,0.05388888888888889
iid,True,True,True,0.05444444444444444
iid,True,True,True,0.055
iid,True,True,True,0.05555555555555556
iid,True,True,True,0.05611111111111111
iid,True,True,True,0.056666666666666664
iid,True,True,True,0.057222222222222216
iid,True,True,True,0.05777777777777778
iid,True,True,True,0.058333333333333334
iid,True,True,True,0.058888888888888886
iid,True,True,True,0.059444444444444446
iid,True,True,True,0.060000000000000005
iid,True,True,True,0.06055555555555556
iid,True,True,True,0.06111111111111111
iid,True,True,True,0.06166666666666667
iid,True,True,True,0.06222222222222222
iid,True,True,True,0.06277777777777778
iid,True,True,True,0.06333333333333332
iid,True,False,True,0.0638888888888889
iid,True,True,True,0.06444444444444444
iid,True,True,True,0.065
iid,True,True,True,0.06555555555555555
iid,True,True,True,0.0661111111111111
iid,True,True,True,0.06666666666666667
iid,True,True,True,0.06722222222222222
iid,True,False,True,0.06777777777777777
iid,True,True,True,0.06833333333333333
iid,True,True,True,0.0688888888888889
iid,True,True,True,0.06944444444444445
iid,True,True,True,0.07
iid,True,False,True,0.07055555555555555
iid,True,True,True,0.07111111111111111
iid,True,True,True,0.07166666666666667
iid,True,True,True,0.07222222222222222
iid,True,True,True,0.07277777777777777
iid,True,True,True,0.07333333333333333
iid,True,True,True,0.07388888888888889
iid,True,True,True,0.07444444444444445
iid,True,True,True,0.075
iid,True,True,True,0.07555555555555556
iid,True,True,True,0.0761111111111111
iid,True,True,True,0.07666666666666666
iid,True,False,True,0.07722222222222223
iid,True,True,True,0.07777777777777778
iid,True,True,True,0.07833333333333334
iid,True,True,True,0.07888888888888888
iid,True,True,True,0.07944444444444444
iid,True,True,True,0.08
iid,True,True,True,0.08055555555555555
iid,True,True,True,0.0811111111111111
iid,True,True,True,0.08166666666666668
iid,True,True,True,0.08222222222222222
iid,True,True,True,0.08277777777777778
iid,True,True,True,0.08333333333333333
iid,True,True,True,0.08388888888888889
iid,True,True,True,0.08444444444444445
iid,True,True,True,0.08499999999999999
iid,True,True,False,0.08555555555555557
iid,True,True,True,0.08611111111111111
iid,True,True,True,0.08666666666666667
iid,True,True,True,0.08722222222222223
iid,True,True,True,0.08777777777777777
iid,True,True,True,0.08833333333333333
iid,True,True,True,0.08888888888888888
iid,True,True,True,0.08944444444444444
iid,True,True,True,0.09000000000000001
iid,True,True,True,0.09055555555555556
iid,True,True,True,0.09111111111111111
iid,True,True,True,0.09166666666666666
iid,True,True,True,0.09222222222222222
iid,True,True,True,0.09277777777777778
iid,True,True,True,0.09333333333333332
iid,True,True,True,0.0938888888888889
iid,True,True,True,0.09444444444444446
iid,True,True,True,0.095
iid,True,True,True,0.09555555555555556
iid,True,True,True,0.0961111111111111
iid,True,True,True,0.09666666666666666
