dataset,fold,test_subject,run,macro_f1_clean,sec
mhealth,0,subject1,seed42,0.8032887871120983,25
mhealth,1,subject10,seed42,0.9826905376918736,19
mhealth,2,subject2,seed42,0.7089635190765687,19
mhealth,3,subject3,seed42,0.8259843371532365,20
mhealth,4,subject4,seed42,0.9259586567278876,20
mhealth,5,subject5,seed42,0.8547605143372357,21
mhealth,6,subject6,seed42,0.7895841831090246,22
mhealth,7,subject7,seed42,0.8874714714714714,22
mhealth,8,subject8,seed42,0.7797672405838787,21
mhealth,9,subject9,seed42,1.0,21
pamap2,0,subject101,seed42,0.6294350071151724,113
pamap2,1,subject102,seed42,0.5615402991899575,112
pamap2,2,subject103,seed42,0.6989089690904754,118
pamap2,3,subject104,seed42,0.7097581606117614,114
pamap2,4,subject105,seed42,0.790087643291752,112
pamap2,5,subject106,seed42,0.734694457617958,113
pamap2,6,subject107,seed42,0.8244891113453675,114
pamap2,7,subject108,seed42,0.3638723050898505,112
opportunity,0,S1,seed42,0.8666695565634567,43
opportunity,1,S2,seed42,0.8454363045452563,43
opportunity,2,S3,seed42,0.6002044701178099,42
opportunity,3,S4,seed42,0.6327423152172378,46
