dataset,held_out,n_test,ks_log
pamap2,subject101,2246,0.0191
pamap2,subject102,3589,0.0173
pamap2,subject103,822,0.0134
pamap2,subject104,2220,0.0752
pamap2,subject105,2545,0.0134
pamap2,subject106,1707,0.0217
pamap2,subject107,1843,0.026
pamap2,subject108,3564,0.0191
pamap2,subject109,21,0.2857
opportunity,S1-ADL1,127,0.1575
opportunity,S1-ADL2,180,0.2667
opportunity,S1-ADL3,252,0.2659
opportunity,S1-ADL4,154,0.3506
opportunity,S1-ADL5,240,0.3375
opportunity,S1-Drill,211,0.2512
opportunity,S2-ADL1,70,0.1429
opportunity,S2-ADL2,117,0.2051
opportunity,S2-ADL3,154,0.1688
opportunity,S2-ADL4,153,0.268
opportunity,S2-ADL5,122,0.2049
opportunity,S2-Drill,137,0.2044
opportunity,S3-ADL1,256,0.3281
opportunity,S3-ADL2,166,0.2048
opportunity,S3-ADL3,130,0.3538
opportunity,S3-ADL4,219,0.2283
opportunity,S3-ADL5,164,0.3415
opportunity,S3-Drill,497,0.0765
opportunity,S4-ADL1,295,0.1966
opportunity,S4-ADL2,196,0.1224
opportunity,S4-ADL3,175,0.24
opportunity,S4-ADL4,91,0.2198
opportunity,S4-ADL5,129,0.2868
opportunity,S4-Drill,552,0.1739
