dataset,fold,run,macro_f1_clean,sec
mhealth,0,mdrop,0.8644826524542094,22
mhealth,1,mdrop,0.86848236737259,21
mhealth,2,mdrop,0.7276632474634369,21
mhealth,3,mdrop,0.8782924173516076,21
mhealth,4,mdrop,0.9782252327407024,21
mhealth,5,mdrop,0.8700648205104363,21
mhealth,6,mdrop,0.7007700907925906,21
mhealth,7,mdrop,0.8933655101961261,21
mhealth,8,mdrop,0.7206948418664579,21
mhealth,9,mdrop,0.9273602204145871,21
pamap2,0,mdrop,0.6048145431359685,114
pamap2,1,mdrop,0.7045862422549684,112
pamap2,2,mdrop,0.6094532997442601,118
pamap2,3,mdrop,0.8749819969483104,114
pamap2,4,mdrop,0.85293928999814,111
pamap2,5,mdrop,0.7673830683241483,113
pamap2,6,mdrop,0.8135914980965534,114
pamap2,7,mdrop,0.3718657244224521,112
opportunity,0,mdrop,0.8963854895457348,44
opportunity,1,mdrop,0.8767234118713292,44
opportunity,2,mdrop,0.6343314740126007,43
opportunity,3,mdrop,0.4702798908496263,46
mhealth,0,faware2,0.865465841881942,22
mhealth,1,faware2,0.8503307865729498,22
mhealth,2,faware2,0.7592490260138206,22
mhealth,3,faware2,0.8825247882440395,22
mhealth,4,faware2,0.9395525520804799,22
mhealth,5,faware2,0.8604976989778111,22
mhealth,6,faware2,0.723597052770392,22
mhealth,7,faware2,0.9822197042381259,22
mhealth,8,faware2,0.6983775829455331,22
mhealth,9,faware2,0.99589474392624,22
pamap2,0,faware2,0.6459710666689744,137
pamap2,1,faware2,0.596082730821032,136
pamap2,2,faware2,0.6471067329809943,142
pamap2,3,faware2,0.8616001042271947,136
pamap2,4,faware2,0.8242460162671749,132
pamap2,5,faware2,0.740975173422613,134
pamap2,6,faware2,0.8239355864185421,135
pamap2,7,faware2,0.2241915487685788,133
opportunity,0,faware2,0.8918079678333339,75
opportunity,1,faware2,0.8347199482274623,76
opportunity,2,faware2,0.6365824630423471,75
opportunity,3,faware2,0.14878750821243275,82
