dataset,regime,severity,baseline,faware2,mdrop
mhealth,burst,1,0.8299,0.851,0.8608
mhealth,burst,10,0.7182,0.7784,0.7798
mhealth,burst,3,0.8171,0.8376,0.8506
mhealth,burst,30,0.5114,0.6348,0.6406
mhealth,gradual,-,0.7493,0.7969,0.8559
mhealth,persistent,-,0.739,0.7892,0.8562
opportunity,burst,1,0.7307,0.7229,0.7577
opportunity,burst,10,0.6928,0.6568,0.7598
opportunity,burst,3,0.7259,0.714,0.7683
opportunity,burst,30,0.6164,0.5847,0.7303
opportunity,gradual,-,0.723,0.7169,0.7751
opportunity,persistent,-,0.7239,0.7203,0.7683
pamap2,burst,1,0.704,0.6942,0.7359
pamap2,burst,10,0.6926,0.6991,0.7345
pamap2,burst,3,0.7029,0.6958,0.7365
pamap2,burst,30,0.7124,0.7171,0.7301
pamap2,gradual,-,0.5753,0.6588,0.6671
pamap2,persistent,-,0.5629,0.6541,0.6661
