kind,,,gap_sample,gap_sample,gap_window,gap_window
,,,mean,std,mean,std
dataset,regime,severity,,,,
mhealth,burst,1,0.0231,0.0073,-0.0072,0.0021
mhealth,burst,3,0.0586,0.017,-0.0232,0.0066
mhealth,burst,10,0.1616,0.0175,-0.0226,0.0223
mhealth,burst,30,0.145,0.0575,0.0046,0.0131
mhealth,gradual,-,0.131,0.0217,0.0291,0.0168
mhealth,persistent,-,0.1472,0.0251,0.0351,0.0184
opportunity,burst,1,0.006,0.0041,-0.0006,0.0027
opportunity,burst,3,0.0153,0.0046,-0.0047,0.0026
opportunity,burst,10,0.0564,0.0042,-0.008,0.0019
opportunity,burst,30,0.1193,0.0185,-0.021,0.0075
opportunity,gradual,-,0.0156,0.0155,-0.0029,0.0131
opportunity,persistent,-,0.0123,0.0135,-0.0049,0.0109
pamap2,burst,1,-0.0081,0.007,-0.0062,0.0072
pamap2,burst,3,-0.0025,0.0069,-0.0121,0.0136
pamap2,burst,10,0.002,0.0021,-0.033,0.0329
pamap2,burst,30,-0.0052,0.0154,-0.0712,0.0174
pamap2,gradual,-,0.1482,0.0087,0.0267,0.0119
pamap2,persistent,-,0.1761,0.0207,0.0434,0.013
