dataset,base,severity,iid_matched,structured,gap
mhealth,burst,1,0.8457,0.8299,0.0158
mhealth,burst,10,0.8596,0.7182,0.1414
mhealth,burst,3,0.8565,0.8171,0.0394
mhealth,burst,30,0.691,0.5114,0.1796
mhealth,gradual,-,0.8552,0.7493,0.1059
mhealth,persistent,-,0.8576,0.739,0.1186
opportunity,burst,1,0.7414,0.7307,0.0107
opportunity,burst,10,0.7537,0.6928,0.0609
opportunity,burst,3,0.7462,0.7259,0.0203
opportunity,burst,30,0.7516,0.6164,0.1352
opportunity,gradual,-,0.7442,0.723,0.0212
opportunity,persistent,-,0.7435,0.7239,0.0196
pamap2,burst,1,0.6932,0.704,-0.0108
pamap2,burst,10,0.6923,0.6926,-0.0003
pamap2,burst,3,0.6924,0.7029,-0.0105
pamap2,burst,30,0.6899,0.7124,-0.0225
pamap2,gradual,-,0.7162,0.5753,0.1409
pamap2,persistent,-,0.7155,0.5629,0.1526
