dataset,fold,family,seed,macro_f1_clean,sec
mhealth,0,baseline,43,0.9034005190691126,22
mhealth,1,baseline,43,0.9929472210150175,21
mhealth,2,baseline,43,0.78090988641313,21
mhealth,3,baseline,43,0.8725873555934629,21
mhealth,4,baseline,43,0.8031333323823714,21
mhealth,5,baseline,43,0.8817867585161446,21
mhealth,6,baseline,43,0.8885869565217391,21
mhealth,7,baseline,43,1.0,21
mhealth,8,baseline,43,0.6832277388357237,21
mhealth,9,baseline,43,0.8876404494382023,21
pamap2,0,baseline,43,0.6077675441283218,113
pamap2,1,baseline,43,0.4670655750498814,112
pamap2,2,baseline,43,0.6862139809037343,118
pamap2,3,baseline,43,0.7431695401224505,115
pamap2,4,baseline,43,0.749005641117094,112
pamap2,5,baseline,43,0.7274660078862488,113
pamap2,6,baseline,43,0.8987509342853421,115
pamap2,7,baseline,43,0.2663164309081885,112
opportunity,0,baseline,43,0.8821205424905936,43
opportunity,1,baseline,43,0.7677454135081945,43
opportunity,2,baseline,43,0.6113134173576286,42
opportunity,3,baseline,43,0.46480719990891417,46
mhealth,0,baseline,44,0.7230331915536374,21
mhealth,1,baseline,44,0.568357757462744,21
mhealth,2,baseline,44,0.7560570428942645,21
mhealth,3,baseline,44,0.8894736842105263,21
mhealth,4,baseline,44,0.7941284589912359,21
mhealth,5,baseline,44,0.8885869565217391,21
mhealth,6,baseline,44,0.7738186413955237,21
mhealth,7,baseline,44,0.8805020788239656,21
mhealth,8,baseline,44,0.8719738338024426,21
mhealth,9,baseline,44,0.8855848938826467,21
pamap2,0,baseline,44,0.6330659812095932,113
pamap2,1,baseline,44,0.48482590371228246,112
pamap2,2,baseline,44,0.6833040920985096,118
pamap2,3,baseline,44,0.7294810875564012,114
pamap2,4,baseline,44,0.7835741952992978,112
pamap2,5,baseline,44,0.7753948185072259,113
pamap2,6,baseline,44,0.8798759572188394,114
pamap2,7,baseline,44,0.25215853076707756,112
opportunity,0,baseline,44,0.902412166868666,43
opportunity,1,baseline,44,0.8783421224589081,43
opportunity,2,baseline,44,0.5944245679695739,42
opportunity,3,baseline,44,0.5904165206198747,46
mhealth,0,mdrop,43,0.8312406386513916,21
mhealth,1,mdrop,43,0.9268915738980903,22
mhealth,2,mdrop,43,0.9100406581721249,21
mhealth,3,mdrop,43,0.8740727713822783,21
mhealth,4,mdrop,43,0.7659558163471222,21
mhealth,5,mdrop,43,0.8722340887438724,21
mhealth,6,mdrop,43,0.7606240556563547,21
mhealth,7,mdrop,43,0.8817432494988995,21
mhealth,8,mdrop,43,0.732988187624111,21
mhealth,9,mdrop,43,0.9945566349719764,21
pamap2,0,mdrop,43,0.6400812273850984,113
pamap2,1,mdrop,43,0.6687234584532794,112
pamap2,2,mdrop,43,0.6531713967179413,118
pamap2,3,mdrop,43,0.7504025772519065,114
pamap2,4,mdrop,43,0.8462615059271467,112
pamap2,5,mdrop,43,0.7479818214333108,113
pamap2,6,mdrop,43,0.8275269952304155,114
pamap2,7,mdrop,43,0.3585982346599825,112
opportunity,0,mdrop,43,0.9047798560973532,43
opportunity,1,mdrop,43,0.8988653788585672,43
opportunity,2,mdrop,43,0.6939303014283225,42
opportunity,3,mdrop,43,0.4283485894235644,46
mhealth,0,mdrop,44,0.7266729608848502,21
mhealth,1,mdrop,44,0.8835547660798738,21
mhealth,2,mdrop,44,0.9014025009916153,21
mhealth,3,mdrop,44,0.8861564648704339,21
mhealth,4,mdrop,44,0.8467869243347423,21
mhealth,5,mdrop,44,0.8726850518520708,21
mhealth,6,mdrop,44,0.7388337711459814,21
mhealth,7,mdrop,44,0.8654439696106362,21
mhealth,8,mdrop,44,0.7359538065771721,21
mhealth,9,mdrop,44,0.9365986884439038,21
pamap2,0,mdrop,44,0.6313091135030934,113
pamap2,1,mdrop,44,0.6417406231970699,113
pamap2,2,mdrop,44,0.8114541788873754,118
pamap2,3,mdrop,44,0.6769510136669683,114
pamap2,4,mdrop,44,0.8033790880677222,112
pamap2,5,mdrop,44,0.7412617925242447,113
pamap2,6,mdrop,44,0.8369903551628305,114
pamap2,7,mdrop,44,0.3143729086699784,113
opportunity,0,mdrop,44,0.9023765035642805,43
opportunity,1,mdrop,44,0.8763751036231816,43
opportunity,2,mdrop,44,0.6198240821639527,43
opportunity,3,mdrop,44,0.3609651447118206,46
mhealth,0,faware2,43,0.8352311979959038,22
mhealth,1,faware2,43,0.80758841407018,22
mhealth,2,faware2,43,0.7186193915371012,22
mhealth,3,faware2,43,0.8705011709910927,22
mhealth,4,faware2,43,0.8676516616468285,22
mhealth,5,faware2,43,0.8749322137322624,22
mhealth,6,faware2,43,0.8835668964217543,22
mhealth,7,faware2,43,0.8722491777395245,22
mhealth,8,faware2,43,0.6862893305657966,22
mhealth,9,faware2,43,0.9930959716991897,22
pamap2,0,faware2,43,0.5613177417977739,137
pamap2,1,faware2,43,0.5861225833415907,136
pamap2,2,faware2,43,0.6440931970245719,143
pamap2,3,faware2,43,0.7951345870955948,139
pamap2,4,faware2,43,0.7464582883031928,136
pamap2,5,faware2,43,0.774241850669083,138
pamap2,6,faware2,43,0.9125209420412446,139
pamap2,7,faware2,43,0.3192962977208355,138
opportunity,0,faware2,43,0.8486190092068661,78
opportunity,1,faware2,43,0.8840480667681069,78
opportunity,2,faware2,43,0.6005194060921919,76
opportunity,3,faware2,43,0.2386571511543483,82
mhealth,0,faware2,44,0.9144616027732768,22
mhealth,1,faware2,44,0.7960371548286133,22
mhealth,2,faware2,44,0.6295962204500744,22
