dataset,regime,severity,family,mean,std
mhealth,burst,1,baseline,0.8311,0.0219
mhealth,burst,1,faware2,0.8559,0.011
mhealth,burst,1,mdrop,0.863,0.0035
mhealth,burst,10,baseline,0.6859,0.0332
mhealth,burst,10,faware2,0.766,0.0117
mhealth,burst,10,mdrop,0.8018,0.0194
mhealth,burst,3,baseline,0.8014,0.0196
mhealth,burst,3,faware2,0.8265,0.0137
mhealth,burst,3,mdrop,0.8525,0.0044
mhealth,burst,30,baseline,0.4877,0.0217
mhealth,burst,30,faware2,0.6246,0.011
mhealth,burst,30,mdrop,0.6512,0.0099
mhealth,gradual,-,baseline,0.729,0.0244
mhealth,gradual,-,faware2,0.8148,0.0213
mhealth,gradual,-,mdrop,0.8559,0.0016
mhealth,persistent,-,baseline,0.7164,0.0262
mhealth,persistent,-,faware2,0.8101,0.0229
mhealth,persistent,-,mdrop,0.855,0.0011
opportunity,burst,1,baseline,0.7172,0.029
opportunity,burst,1,faware2,0.7343,0.0182
opportunity,burst,1,mdrop,0.7648,0.0226
opportunity,burst,10,baseline,0.6783,0.0421
opportunity,burst,10,faware2,0.6835,0.0232
opportunity,burst,10,mdrop,0.7526,0.0175
opportunity,burst,3,baseline,0.7122,0.0341
opportunity,burst,3,faware2,0.7269,0.0212
opportunity,burst,3,mdrop,0.7677,0.0217
opportunity,burst,30,baseline,0.5955,0.0409
opportunity,burst,30,faware2,0.6178,0.0292
opportunity,burst,30,mdrop,0.7125,0.0202
opportunity,gradual,-,baseline,0.7099,0.0182
opportunity,gradual,-,faware2,0.7294,0.0142
opportunity,gradual,-,mdrop,0.7705,0.0164
opportunity,persistent,-,baseline,0.7128,0.0201
opportunity,persistent,-,faware2,0.7336,0.0176
opportunity,persistent,-,mdrop,0.7684,0.0241
pamap2,burst,1,baseline,0.7098,0.0083
pamap2,burst,1,faware2,0.6949,0.0006
pamap2,burst,1,mdrop,0.7181,0.0154
pamap2,burst,10,baseline,0.7095,0.0162
pamap2,burst,10,faware2,0.6966,0.0022
pamap2,burst,10,mdrop,0.7252,0.0145
pamap2,burst,3,baseline,0.708,0.0083
pamap2,burst,3,faware2,0.6957,0.0003
pamap2,burst,3,mdrop,0.719,0.0153
pamap2,burst,30,baseline,0.7038,0.0092
pamap2,burst,30,faware2,0.6995,0.0159
pamap2,burst,30,mdrop,0.7142,0.0142
pamap2,gradual,-,baseline,0.5696,0.0061
pamap2,gradual,-,faware2,0.6512,0.0104
pamap2,gradual,-,mdrop,0.6937,0.036
pamap2,persistent,-,baseline,0.5471,0.0142
pamap2,persistent,-,faware2,0.6432,0.0107
pamap2,persistent,-,mdrop,0.6917,0.0381
