subject,device,n_samples,missing_frac,interior_missing_frac,n_interior_runs,zeros_frac
subject1,chest_acc,161280,0.0,0.0,0,0.0
subject1,left_ankle,161280,0.0,0.0,0,0.0
subject1,right_wrist,161280,0.0,0.0,0,0.0
subject10,chest_acc,98304,0.0,0.0,0,0.0
subject10,left_ankle,98304,0.0,0.0,0,0.0
subject10,right_wrist,98304,0.0,0.0,0,0.0
subject2,chest_acc,130561,0.0,0.0,0,0.0
subject2,left_ankle,130561,0.0,0.0,0,0.0
subject2,right_wrist,130561,0.0,0.0,0,0.0
subject3,chest_acc,122112,0.0,0.0,0,0.0
subject3,left_ankle,122112,0.0,0.0,0,0.0
subject3,right_wrist,122112,0.0,0.0,0,0.0
subject4,chest_acc,116736,0.0,0.0,0,0.0
subject4,left_ankle,116736,0.0,0.0,0,0.0
subject4,right_wrist,116736,0.0,0.0,0,0.0
subject5,chest_acc,119808,0.0,0.0,0,0.0
subject5,left_ankle,119808,0.0,0.0,0,0.0
subject5,right_wrist,119808,0.0,0.0,0,0.0
subject6,chest_acc,98304,0.0,0.0,0,0.0
subject6,left_ankle,98304,0.0,0.0,0,0.0
subject6,right_wrist,98304,0.0,0.0,0,0.0
subject7,chest_acc,104448,0.0,0.0,0,0.0
subject7,left_ankle,104448,0.0,0.0,0,0.0
subject7,right_wrist,104448,0.0,0.0,0,0.0
subject8,chest_acc,129024,0.0,0.0,0,0.0
subject8,left_ankle,129024,0.0,0.0,0,0.0
subject8,right_wrist,129024,0.0,0.0,0,0.0
subject9,chest_acc,135168,0.0,0.0,0,0.0
subject9,left_ankle,135168,0.0,0.0,0,0.0
subject9,right_wrist,135168,0.0,0.0,0,0.0
