subject,session,device,kind,n_samples,missing_frac,interior_missing_frac,n_runs,n_interior_runs,packet_level_agreement,median_run_s,p95_run_s,max_run_s
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,51116,0.01782220831050943,0.009390406135065341,17,16,1.0,0.9333333333333333,1.6,1.8
S1,S1-ADL1,Accelerometer HIP,Accelerometer,51116,0.009116519289459269,0.00037170357617966976,2,1,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,51116,0.012657484936223491,0.003912669222943892,11,10,1.0,0.6666666666666666,0.7,0.7
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,51116,0.011816261053290554,0.0031301353783551138,9,8,1.0,0.6666666666666666,0.7,0.7
S1,S1-ADL1,Accelerometer LH,Accelerometer,51116,0.02369121214492527,0.014965959777760388,17,16,1.0,0.6666666666666666,4.408333333333333,15.433333333333334
S1,S1-ADL1,Accelerometer BACK,Accelerometer,51116,0.00872525236716488,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,51116,0.04067219657250176,0.03290554816495814,24,23,1.0,1.4666666666666666,6.586666666666665,7.666666666666667
S1,S1-ADL1,Accelerometer RWR,Accelerometer,51116,0.018780812270130683,0.010114249941309961,26,25,1.0,0.6666666666666666,0.7599999999999999,0.9333333333333333
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,51116,0.012579231551764615,0.003893105876829173,11,10,1.0,0.6666666666666666,0.6849999999999999,0.7
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,51116,0.012657484936223491,0.003971359261288051,11,10,1.0,0.6666666666666666,0.7,0.7
S1,S1-ADL1,Accelerometer LWR,Accelerometer,51116,0.011835824399405274,0.0031301353783551138,9,8,1.0,0.6666666666666666,0.6883333333333332,0.7
S1,S1-ADL1,Accelerometer RH,Accelerometer,51116,0.9999804366538853,0.0,2,0,1.0,0.0,0.0,0.0
S1,S1-ADL1,InertialMeasurementUnit BACK,InertialMeasurementUnit,51116,0.008099225291493857,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL1,InertialMeasurementUnit RUA,InertialMeasurementUnit,51116,0.008099225291493857,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL1,InertialMeasurementUnit RLA,InertialMeasurementUnit,51116,0.008099225291493857,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL1,InertialMeasurementUnit LUA,InertialMeasurementUnit,51116,0.008099225291493857,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL1,InertialMeasurementUnit LLA,InertialMeasurementUnit,51116,0.008099225291493857,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL1,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,51116,0.0005477736912121449,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL1,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,51116,0.0005477736912121449,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,32224,0.08710898709036743,0.07513033763654418,105,104,1.0,0.6666666666666666,1.0616666666666665,7.5
S1,S1-ADL2,Accelerometer HIP,Accelerometer,32224,0.017068023833167825,0.005151439920556107,6,5,1.0,0.9,1.8133333333333332,1.9333333333333333
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,32224,0.023088381330685203,0.011047666335650446,11,10,1.0,0.6833333333333333,3.5049999999999946,5.8
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,32224,0.024764150943396228,0.01278550148957299,14,13,1.0,0.6666666666666666,2.733333333333326,5.833333333333333
S1,S1-ADL2,Accelerometer LH,Accelerometer,32224,0.9858180238331679,0.001272343594836147,4,2,1.0,0.6833333333333333,0.6983333333333334,0.7
S1,S1-ADL2,Accelerometer BACK,Accelerometer,32224,0.015392254220456803,0.0033825719960278054,6,5,1.0,0.6666666666666666,0.8866666666666666,0.9333333333333333
S1,S1-ADL2,Accelerometer RKN_,Accelerometer,32224,0.016043942403177757,0.004344587884806355,4,3,1.0,1.3666666666666667,2.2366666666666664,2.3333333333333335
S1,S1-ADL2,Accelerometer RWR,Accelerometer,32224,0.02153674280039722,0.0015826713008937439,3,2,1.0,0.85,0.985,1.0
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,32224,0.023026315789473683,0.011947616683217477,13,12,1.0,0.6833333333333333,2.8166666666666638,5.2
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,32224,0.022840119165839126,0.01176142005958292,15,14,1.0,0.7,2.0333333333333328,2.9
S1,S1-ADL2,Accelerometer LWR,Accelerometer,32224,0.022374627606752732,0.011295928500496525,11,10,1.0,0.6833333333333333,3.6333333333333275,6.033333333333333
S1,S1-ADL2,Accelerometer RH,Accelerometer,32224,0.9999689672293942,0.0,2,0,1.0,0.0,0.0,0.0
S1,S1-ADL2,InertialMeasurementUnit BACK,InertialMeasurementUnit,32224,0.010302879841112214,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL2,InertialMeasurementUnit RUA,InertialMeasurementUnit,32224,0.010302879841112214,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL2,InertialMeasurementUnit RLA,InertialMeasurementUnit,32224,0.010302879841112214,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL2,InertialMeasurementUnit LUA,InertialMeasurementUnit,32224,0.010302879841112214,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL2,InertialMeasurementUnit LLA,InertialMeasurementUnit,32224,0.010302879841112214,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL2,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,32224,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S1,S1-ADL2,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,32224,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S1,S1-ADL3,Accelerometer RKN^,Accelerometer,33273,0.08445285967601358,0.0603191777116581,83,82,1.0,0.6666666666666666,1.1183333333333343,9.166666666666666
S1,S1-ADL3,Accelerometer HIP,Accelerometer,33273,0.029783908875063866,0.005740390106092026,2,1,1.0,6.366666666666666,6.366666666666666,6.366666666666666
S1,S1-ADL3,Accelerometer LUA^,Accelerometer,33273,0.03576473416884561,0.011691161001412556,16,15,1.0,0.6666666666666666,1.569999999999997,3.6
S1,S1-ADL3,Accelerometer RUA_,Accelerometer,33273,0.03901060920265681,0.015057253629068615,15,14,1.0,0.6666666666666666,3.279999999999997,8.133333333333333
S1,S1-ADL3,Accelerometer LH,Accelerometer,33273,0.04189583145493343,0.017852312685961592,20,19,1.0,0.6666666666666666,1.4499999999999862,7.3
S1,S1-ADL3,Accelerometer BACK,Accelerometer,33273,0.027349502599705467,0.0033660926276560576,6,5,1.0,0.6666666666666666,0.9866666666666666,1.0666666666666667
S1,S1-ADL3,Accelerometer RKN_,Accelerometer,33273,0.05376731884711328,0.02981396327352508,38,37,1.0,0.6666666666666666,0.8266666666666654,8.7
S1,S1-ADL3,Accelerometer RWR,Accelerometer,33273,0.055420310762480086,0.03155711838427554,40,39,1.0,0.6666666666666666,0.8400000000000005,8.233333333333333
S1,S1-ADL3,Accelerometer RUA^,Accelerometer,33273,0.03462266702731945,0.010789529047576112,16,15,1.0,0.6666666666666666,1.2799999999999978,2.6333333333333333
S1,S1-ADL3,Accelerometer LUA_,Accelerometer,33273,0.030535268836594236,0.00664202205992847,12,11,1.0,0.6666666666666666,0.7,0.7
S1,S1-ADL3,Accelerometer LWR,Accelerometer,33273,0.036606257325759624,0.012743064947555074,15,14,1.0,0.6833333333333333,2.3099999999999983,5.3
S1,S1-ADL3,Accelerometer RH,Accelerometer,33273,0.9999699456015387,0.0,2,0,1.0,0.0,0.0,0.0
S1,S1-ADL3,InertialMeasurementUnit BACK,InertialMeasurementUnit,33273,0.02323205001051904,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL3,InertialMeasurementUnit RUA,InertialMeasurementUnit,33273,0.02323205001051904,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL3,InertialMeasurementUnit RLA,InertialMeasurementUnit,33273,0.02323205001051904,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL3,InertialMeasurementUnit LUA,InertialMeasurementUnit,33273,0.02323205001051904,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL3,InertialMeasurementUnit LLA,InertialMeasurementUnit,33273,0.02323205001051904,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL3,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,33273,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S1,S1-ADL3,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,33273,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,Accelerometer RKN^,Accelerometer,32955,0.021392808375056895,0.01222879684418146,4,3,1.0,5.366666666666666,6.326666666666667,6.433333333333334
S1,S1-ADL4,Accelerometer HIP,Accelerometer,32955,0.009528144439387043,0.000576543771810044,2,1,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333
S1,S1-ADL4,Accelerometer LUA^,Accelerometer,32955,0.01520254893035958,0.006250948262782582,11,10,1.0,0.7,0.7,0.7
S1,S1-ADL4,Accelerometer RUA_,Accelerometer,32955,0.017963890153239265,0.009012289485662267,16,15,1.0,0.6666666666666666,0.6766666666666665,0.7
S1,S1-ADL4,Accelerometer LH,Accelerometer,32955,0.03434987103626157,0.025428614777727204,10,9,1.0,0.7333333333333333,13.52666666666666,21.9
S1,S1-ADL4,Accelerometer BACK,Accelerometer,32955,0.008921256258534365,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,Accelerometer RKN_,Accelerometer,32955,0.03826429980276134,0.029312699135184344,49,48,1.0,0.6666666666666666,0.6666666666666666,1.1
S1,S1-ADL4,Accelerometer RWR,Accelerometer,32955,0.04906690942193901,0.02321347291761493,38,37,1.0,0.6666666666666666,0.813333333333333,1.1
