session,device,gap_samples,gap_s
S1-ADL1,Accelerometer RKN^,91,3.033333333333333
S1-ADL1,Accelerometer RKN^,82,2.7333333333333334
S1-ADL1,Accelerometer RKN^,7592,253.06666666666666
S1-ADL1,Accelerometer RKN^,112,3.7333333333333334
S1-ADL1,Accelerometer RKN^,473,15.766666666666667
S1-ADL1,Accelerometer RKN^,31,1.0333333333333334
S1-ADL1,Accelerometer RKN^,11,0.36666666666666664
S1-ADL1,Accelerometer RKN^,9120,304.0
S1-ADL1,Accelerometer RKN^,82,2.7333333333333334
S1-ADL1,Accelerometer RKN^,473,15.766666666666667
S1-ADL1,Accelerometer RKN^,173,5.766666666666667
S1-ADL1,Accelerometer RKN^,6911,230.36666666666667
S1-ADL1,Accelerometer RKN^,91,3.033333333333333
S1-ADL1,Accelerometer RKN^,82,2.7333333333333334
S1-ADL1,Accelerometer RKN^,11,0.36666666666666664
S1-ADL1,Accelerometer RKN^,2079,69.3
S1-ADL1,Accelerometer HIP,16025,534.1666666666666
S1-ADL1,Accelerometer LUA^,45,1.5
S1-ADL1,Accelerometer LUA^,46,1.5333333333333334
S1-ADL1,Accelerometer LUA^,47,1.5666666666666667
S1-ADL1,Accelerometer LUA^,48,1.6
S1-ADL1,Accelerometer LUA^,14449,481.6333333333333
S1-ADL1,Accelerometer LUA^,35108,1170.2666666666667
S1-ADL1,Accelerometer LUA^,110,3.6666666666666665
S1-ADL1,Accelerometer LUA^,39,1.3
S1-ADL1,Accelerometer LUA^,43,1.4333333333333333
S1-ADL1,Accelerometer LUA^,441,14.7
S1-ADL1,Accelerometer RUA_,110,3.6666666666666665
S1-ADL1,Accelerometer RUA_,115,3.8333333333333335
S1-ADL1,Accelerometer RUA_,46839,1561.3
S1-ADL1,Accelerometer RUA_,2721,90.7
S1-ADL1,Accelerometer RUA_,110,3.6666666666666665
S1-ADL1,Accelerometer RUA_,41,1.3666666666666667
S1-ADL1,Accelerometer RUA_,41,1.3666666666666667
S1-ADL1,Accelerometer RUA_,441,14.7
S1-ADL1,Accelerometer LH,45,1.5
S1-ADL1,Accelerometer LH,112,3.7333333333333334
S1-ADL1,Accelerometer LH,48,1.6
S1-ADL1,Accelerometer LH,9201,306.7
S1-ADL1,Accelerometer LH,1570,52.333333333333336
S1-ADL1,Accelerometer LH,16121,537.3666666666667
S1-ADL1,Accelerometer LH,8989,299.6333333333333
S1-ADL1,Accelerometer LH,8658,288.6
S1-ADL1,Accelerometer LH,1616,53.86666666666667
S1-ADL1,Accelerometer LH,1264,42.13333333333333
S1-ADL1,Accelerometer LH,2019,67.3
S1-ADL1,Accelerometer LH,45,1.5
S1-ADL1,Accelerometer LH,44,1.4666666666666666
S1-ADL1,Accelerometer LH,38,1.2666666666666666
S1-ADL1,Accelerometer LH,41,1.3666666666666667
S1-ADL1,Accelerometer LH,1,0.03333333333333333
S1-ADL1,Accelerometer RKN_,7857,261.9
S1-ADL1,Accelerometer RKN_,655,21.833333333333332
S1-ADL1,Accelerometer RKN_,7184,239.46666666666667
S1-ADL1,Accelerometer RKN_,82,2.7333333333333334
S1-ADL1,Accelerometer RKN_,20,0.6666666666666666
S1-ADL1,Accelerometer RKN_,102,3.4
S1-ADL1,Accelerometer RKN_,122,4.066666666666666
S1-ADL1,Accelerometer RKN_,91,3.033333333333333
S1-ADL1,Accelerometer RKN_,82,2.7333333333333334
S1-ADL1,Accelerometer RKN_,11,0.36666666666666664
S1-ADL1,Accelerometer RKN_,161,5.366666666666666
S1-ADL1,Accelerometer RKN_,93,3.1
S1-ADL1,Accelerometer RKN_,82,2.7333333333333334
S1-ADL1,Accelerometer RKN_,242,8.066666666666666
S1-ADL1,Accelerometer RKN_,22,0.7333333333333333
S1-ADL1,Accelerometer RKN_,11,0.36666666666666664
S1-ADL1,Accelerometer RKN_,42,1.4
S1-ADL1,Accelerometer RKN_,1,0.03333333333333333
S1-ADL1,Accelerometer RKN_,81,2.7
S1-ADL1,Accelerometer RKN_,11,0.36666666666666664
S1-ADL1,Accelerometer RKN_,31,1.0333333333333334
S1-ADL1,Accelerometer RKN_,11,0.36666666666666664
S1-ADL1,Accelerometer RKN_,9317,310.56666666666666
S1-ADL1,Accelerometer RWR,46,1.5333333333333334
S1-ADL1,Accelerometer RWR,46,1.5333333333333334
S1-ADL1,Accelerometer RWR,47,1.5666666666666667
S1-ADL1,Accelerometer RWR,47,1.5666666666666667
S1-ADL1,Accelerometer RWR,11003,366.76666666666665
S1-ADL1,Accelerometer RWR,10653,355.1
S1-ADL1,Accelerometer RWR,1194,39.8
S1-ADL1,Accelerometer RWR,4263,142.1
S1-ADL1,Accelerometer RWR,17685,589.5
S1-ADL1,Accelerometer RWR,348,11.6
S1-ADL1,Accelerometer RWR,317,10.566666666666666
S1-ADL1,Accelerometer RWR,179,5.966666666666667
S1-ADL1,Accelerometer RWR,55,1.8333333333333333
S1-ADL1,Accelerometer RWR,187,6.233333333333333
S1-ADL1,Accelerometer RWR,158,5.266666666666667
S1-ADL1,Accelerometer RWR,146,4.866666666666666
S1-ADL1,Accelerometer RWR,187,6.233333333333333
S1-ADL1,Accelerometer RWR,321,10.7
S1-ADL1,Accelerometer RWR,239,7.966666666666667
S1-ADL1,Accelerometer RWR,2332,77.73333333333333
S1-ADL1,Accelerometer RWR,45,1.5
S1-ADL1,Accelerometer RWR,44,1.4666666666666666
S1-ADL1,Accelerometer RWR,37,1.2333333333333334
S1-ADL1,Accelerometer RWR,41,1.3666666666666667
S1-ADL1,Accelerometer RWR,442,14.733333333333333
S1-ADL1,Accelerometer RUA^,47,1.5666666666666667
S1-ADL1,Accelerometer RUA^,46,1.5333333333333334
S1-ADL1,Accelerometer RUA^,46,1.5333333333333334
S1-ADL1,Accelerometer RUA^,47,1.5666666666666667
S1-ADL1,Accelerometer RUA^,49578,1652.6
S1-ADL1,Accelerometer RUA^,45,1.5
S1-ADL1,Accelerometer RUA^,45,1.5
S1-ADL1,Accelerometer RUA^,40,1.3333333333333333
S1-ADL1,Accelerometer RUA^,42,1.4
S1-ADL1,Accelerometer RUA^,444,14.8
S1-ADL1,Accelerometer LUA_,45,1.5
S1-ADL1,Accelerometer LUA_,47,1.5666666666666667
S1-ADL1,Accelerometer LUA_,48,1.6
S1-ADL1,Accelerometer LUA_,45289,1509.6333333333334
S1-ADL1,Accelerometer LUA_,4269,142.3
S1-ADL1,Accelerometer LUA_,44,1.4666666666666666
S1-ADL1,Accelerometer LUA_,44,1.4666666666666666
S1-ADL1,Accelerometer LUA_,39,1.3
S1-ADL1,Accelerometer LUA_,42,1.4
S1-ADL1,Accelerometer LUA_,444,14.8
S1-ADL1,Accelerometer LWR,45,1.5
S1-ADL1,Accelerometer LWR,47,1.5666666666666667
S1-ADL1,Accelerometer LWR,48,1.6
S1-ADL1,Accelerometer LWR,49576,1652.5333333333333
S1-ADL1,Accelerometer LWR,45,1.5
S1-ADL1,Accelerometer LWR,105,3.5
S1-ADL1,Accelerometer LWR,42,1.4
S1-ADL1,Accelerometer LWR,445,14.833333333333334
S1-ADL1,Accelerometer RH,1,0.03333333333333333
S1-ADL2,Accelerometer RKN^,74,2.466666666666667
S1-ADL2,Accelerometer RKN^,2654,88.46666666666667
S1-ADL2,Accelerometer RKN^,15,0.5
S1-ADL2,Accelerometer RKN^,539,17.966666666666665
S1-ADL2,Accelerometer RKN^,1079,35.96666666666667
S1-ADL2,Accelerometer RKN^,228,7.6
S1-ADL2,Accelerometer RKN^,18,0.6
S1-ADL2,Accelerometer RKN^,20,0.6666666666666666
S1-ADL2,Accelerometer RKN^,270,9.0
S1-ADL2,Accelerometer RKN^,69,2.3
S1-ADL2,Accelerometer RKN^,56,1.8666666666666667
S1-ADL2,Accelerometer RKN^,153,5.1
S1-ADL2,Accelerometer RKN^,448,14.933333333333334
S1-ADL2,Accelerometer RKN^,15,0.5
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,10,0.3333333333333333
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,17,0.5666666666666667
S1-ADL2,Accelerometer RKN^,198,6.6
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,13,0.43333333333333335
S1-ADL2,Accelerometer RKN^,10,0.3333333333333333
S1-ADL2,Accelerometer RKN^,15,0.5
S1-ADL2,Accelerometer RKN^,45,1.5
S1-ADL2,Accelerometer RKN^,10,0.3333333333333333
S1-ADL2,Accelerometer RKN^,13,0.43333333333333335
S1-ADL2,Accelerometer RKN^,46,1.5333333333333334
S1-ADL2,Accelerometer RKN^,13,0.43333333333333335
S1-ADL2,Accelerometer RKN^,10,0.3333333333333333
S1-ADL2,Accelerometer RKN^,7,0.23333333333333334
S1-ADL2,Accelerometer RKN^,316,10.533333333333333
S1-ADL2,Accelerometer RKN^,34,1.1333333333333333
S1-ADL2,Accelerometer RKN^,67,2.2333333333333334
S1-ADL2,Accelerometer RKN^,18,0.6
S1-ADL2,Accelerometer RKN^,17,0.5666666666666667
S1-ADL2,Accelerometer RKN^,52,1.7333333333333334
S1-ADL2,Accelerometer RKN^,11,0.36666666666666664
S1-ADL2,Accelerometer RKN^,17,0.5666666666666667
S1-ADL2,Accelerometer RKN^,47,1.5666666666666667
S1-ADL2,Accelerometer RKN^,17,0.5666666666666667
S1-ADL2,Accelerometer RKN^,55,1.8333333333333333
S1-ADL2,Accelerometer RKN^,13,0.43333333333333335
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,15,0.5
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,12,0.4
S1-ADL2,Accelerometer RKN^,12,0.4
S1-ADL2,Accelerometer RKN^,37,1.2333333333333334
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,35,1.1666666666666667
S1-ADL2,Accelerometer RKN^,10,0.3333333333333333
S1-ADL2,Accelerometer RKN^,10,0.3333333333333333
S1-ADL2,Accelerometer RKN^,13,0.43333333333333335
S1-ADL2,Accelerometer RKN^,83,2.7666666666666666
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,11,0.36666666666666664
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,13,0.43333333333333335
S1-ADL2,Accelerometer RKN^,11,0.36666666666666664
S1-ADL2,Accelerometer RKN^,15,0.5
S1-ADL2,Accelerometer RKN^,15,0.5
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,2,0.06666666666666667
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,135,4.5
S1-ADL2,Accelerometer RKN^,51,1.7
S1-ADL2,Accelerometer RKN^,10,0.3333333333333333
S1-ADL2,Accelerometer RKN^,12,0.4
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,15,0.5
S1-ADL2,Accelerometer RKN^,16,0.5333333333333333
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,206,6.866666666666666
S1-ADL2,Accelerometer RKN^,186,6.2
S1-ADL2,Accelerometer RKN^,230,7.666666666666667
S1-ADL2,Accelerometer RKN^,5651,188.36666666666667
S1-ADL2,Accelerometer RKN^,15,0.5
S1-ADL2,Accelerometer RKN^,210,7.0
S1-ADL2,Accelerometer RKN^,1320,44.0
S1-ADL2,Accelerometer RKN^,2177,72.56666666666666
S1-ADL2,Accelerometer RKN^,152,5.066666666666666
S1-ADL2,Accelerometer RKN^,17,0.5666666666666667
S1-ADL2,Accelerometer RKN^,5591,186.36666666666667
S1-ADL2,Accelerometer RKN^,2035,67.83333333333333
S1-ADL2,Accelerometer RKN^,14,0.4666666666666667
S1-ADL2,Accelerometer RKN^,437,14.566666666666666
S1-ADL2,Accelerometer RKN^,13,0.43333333333333335
S1-ADL2,Accelerometer RKN^,19,0.6333333333333333
S1-ADL2,Accelerometer RKN^,328,10.933333333333334
S1-ADL2,Accelerometer RKN^,247,8.233333333333333
S1-ADL2,Accelerometer RKN^,17,0.5666666666666667
S1-ADL2,Accelerometer RKN^,2490,83.0
S1-ADL2,Accelerometer HIP,242,8.066666666666666
S1-ADL2,Accelerometer HIP,11,0.36666666666666664
S1-ADL2,Accelerometer HIP,7529,250.96666666666667
S1-ADL2,Accelerometer HIP,795,26.5
S1-ADL2,Accelerometer HIP,8026,267.53333333333336
S1-ADL2,Accelerometer LUA^,37,1.2333333333333334
S1-ADL2,Accelerometer LUA^,34,1.1333333333333333
S1-ADL2,Accelerometer LUA^,33,1.1
S1-ADL2,Accelerometer LUA^,7034,234.46666666666667
S1-ADL2,Accelerometer LUA^,23666,788.8666666666667
S1-ADL2,Accelerometer LUA^,42,1.4
S1-ADL2,Accelerometer LUA^,39,1.3
S1-ADL2,Accelerometer LUA^,38,1.2666666666666666
S1-ADL2,Accelerometer LUA^,35,1.1666666666666667
S1-ADL2,Accelerometer LUA^,382,12.733333333333333
S1-ADL2,Accelerometer RUA_,36,1.2
S1-ADL2,Accelerometer RUA_,37,1.2333333333333334
S1-ADL2,Accelerometer RUA_,35,1.1666666666666667
S1-ADL2,Accelerometer RUA_,32,1.0666666666666667
S1-ADL2,Accelerometer RUA_,7042,234.73333333333332
S1-ADL2,Accelerometer RUA_,2,0.06666666666666667
S1-ADL2,Accelerometer RUA_,12776,425.8666666666667
S1-ADL2,Accelerometer RUA_,10839,361.3
S1-ADL2,Accelerometer RUA_,41,1.3666666666666667
S1-ADL2,Accelerometer RUA_,41,1.3666666666666667
S1-ADL2,Accelerometer RUA_,39,1.3
S1-ADL2,Accelerometer RUA_,37,1.2333333333333334
S1-ADL2,Accelerometer RUA_,383,12.766666666666667
S1-ADL2,Accelerometer LH,38,1.2666666666666666
S1-ADL2,Accelerometer LH,36,1.2
S1-ADL2,Accelerometer LH,383,12.766666666666667
S1-ADL2,Accelerometer BACK,1832,61.06666666666667
S1-ADL2,Accelerometer BACK,20,0.6666666666666666
S1-ADL2,Accelerometer BACK,77,2.566666666666667
S1-ADL2,Accelerometer BACK,14,0.4666666666666667
S1-ADL2,Accelerometer BACK,24262,808.7333333333333
S1-ADL2,Accelerometer RKN_,82,2.7333333333333334
S1-ADL2,Accelerometer RKN_,82,2.7333333333333334
S1-ADL2,Accelerometer RKN_,7752,258.4
S1-ADL2,Accelerometer RWR,26683,889.4333333333333
S1-ADL2,Accelerometer RWR,2738,91.26666666666667
S1-ADL2,Accelerometer RUA^,35,1.1666666666666667
S1-ADL2,Accelerometer RUA^,36,1.2
S1-ADL2,Accelerometer RUA^,35,1.1666666666666667
S1-ADL2,Accelerometer RUA^,32,1.0666666666666667
S1-ADL2,Accelerometer RUA^,752,25.066666666666666
S1-ADL2,Accelerometer RUA^,6263,208.76666666666668
S1-ADL2,Accelerometer RUA^,23676,789.2
S1-ADL2,Accelerometer RUA^,41,1.3666666666666667
S1-ADL2,Accelerometer RUA^,39,1.3
S1-ADL2,Accelerometer RUA^,39,1.3
S1-ADL2,Accelerometer RUA^,36,1.2
S1-ADL2,Accelerometer RUA^,413,13.766666666666667
S1-ADL2,Accelerometer LUA_,35,1.1666666666666667
S1-ADL2,Accelerometer LUA_,36,1.2
S1-ADL2,Accelerometer LUA_,35,1.1666666666666667
S1-ADL2,Accelerometer LUA_,32,1.0666666666666667
S1-ADL2,Accelerometer LUA_,2451,81.7
S1-ADL2,Accelerometer LUA_,4572,152.4
S1-ADL2,Accelerometer LUA_,10,0.3333333333333333
S1-ADL2,Accelerometer LUA_,1133,37.766666666666666
S1-ADL2,Accelerometer LUA_,22532,751.0666666666667
S1-ADL2,Accelerometer LUA_,40,1.3333333333333333
S1-ADL2,Accelerometer LUA_,39,1.3
S1-ADL2,Accelerometer LUA_,40,1.3333333333333333
S1-ADL2,Accelerometer LUA_,36,1.2
S1-ADL2,Accelerometer LUA_,413,13.766666666666667
S1-ADL2,Accelerometer LWR,36,1.2
S1-ADL2,Accelerometer LWR,93,3.1
S1-ADL2,Accelerometer LWR,33,1.1
S1-ADL2,Accelerometer LWR,7017,233.9
S1-ADL2,Accelerometer LWR,23674,789.1333333333333
S1-ADL2,Accelerometer LWR,43,1.4333333333333333
S1-ADL2,Accelerometer LWR,38,1.2666666666666666
S1-ADL2,Accelerometer LWR,38,1.2666666666666666
S1-ADL2,Accelerometer LWR,35,1.1666666666666667
S1-ADL2,Accelerometer LWR,413,13.766666666666667
S1-ADL2,Accelerometer RH,1,0.03333333333333333
S1-ADL3,Accelerometer RKN^,83,2.7666666666666666
S1-ADL3,Accelerometer RKN^,1882,62.733333333333334
S1-ADL3,Accelerometer RKN^,421,14.033333333333333
S1-ADL3,Accelerometer RKN^,18,0.6
S1-ADL3,Accelerometer RKN^,438,14.6
S1-ADL3,Accelerometer RKN^,18,0.6
S1-ADL3,Accelerometer RKN^,204,6.8
S1-ADL3,Accelerometer RKN^,60,2.0
S1-ADL3,Accelerometer RKN^,537,17.9
S1-ADL3,Accelerometer RKN^,19,0.6333333333333333
S1-ADL3,Accelerometer RKN^,301,10.033333333333333
S1-ADL3,Accelerometer RKN^,233,7.766666666666667
S1-ADL3,Accelerometer RKN^,61,2.033333333333333
S1-ADL3,Accelerometer RKN^,19,0.6333333333333333
S1-ADL3,Accelerometer RKN^,19,0.6333333333333333
S1-ADL3,Accelerometer RKN^,15,0.5
S1-ADL3,Accelerometer RKN^,20,0.6666666666666666
S1-ADL3,Accelerometer RKN^,62,2.066666666666667
S1-ADL3,Accelerometer RKN^,25,0.8333333333333334
S1-ADL3,Accelerometer RKN^,99,3.3
S1-ADL3,Accelerometer RKN^,50,1.6666666666666667
S1-ADL3,Accelerometer RKN^,16,0.5333333333333333
S1-ADL3,Accelerometer RKN^,12,0.4
S1-ADL3,Accelerometer RKN^,15,0.5
S1-ADL3,Accelerometer RKN^,51,1.7
S1-ADL3,Accelerometer RKN^,15,0.5
S1-ADL3,Accelerometer RKN^,38,1.2666666666666666
S1-ADL3,Accelerometer RKN^,35,1.1666666666666667
S1-ADL3,Accelerometer RKN^,66,2.2
S1-ADL3,Accelerometer RKN^,314,10.466666666666667
S1-ADL3,Accelerometer RKN^,17,0.5666666666666667
S1-ADL3,Accelerometer RKN^,18,0.6
S1-ADL3,Accelerometer RKN^,56,1.8666666666666667
S1-ADL3,Accelerometer RKN^,19,0.6333333333333333
S1-ADL3,Accelerometer RKN^,55,1.8333333333333333
S1-ADL3,Accelerometer RKN^,19,0.6333333333333333
S1-ADL3,Accelerometer RKN^,484,16.133333333333333
S1-ADL3,Accelerometer RKN^,14,0.4666666666666667
S1-ADL3,Accelerometer RKN^,49,1.6333333333333333
S1-ADL3,Accelerometer RKN^,79,2.6333333333333333
S1-ADL3,Accelerometer RKN^,18,0.6
S1-ADL3,Accelerometer RKN^,11,0.36666666666666664
S1-ADL3,Accelerometer RKN^,13,0.43333333333333335
S1-ADL3,Accelerometer RKN^,47,1.5666666666666667
S1-ADL3,Accelerometer RKN^,37,1.2333333333333334
S1-ADL3,Accelerometer RKN^,15,0.5
S1-ADL3,Accelerometer RKN^,14,0.4666666666666667
S1-ADL3,Accelerometer RKN^,15,0.5
S1-ADL3,Accelerometer RKN^,2,0.06666666666666667
S1-ADL3,Accelerometer RKN^,46,1.5333333333333334
S1-ADL3,Accelerometer RKN^,16,0.5333333333333333
S1-ADL3,Accelerometer RKN^,51,1.7
S1-ADL3,Accelerometer RKN^,16,0.5333333333333333
S1-ADL3,Accelerometer RKN^,89,2.966666666666667
S1-ADL3,Accelerometer RKN^,16,0.5333333333333333
S1-ADL3,Accelerometer RKN^,87,2.9
S1-ADL3,Accelerometer RKN^,56,1.8666666666666667
S1-ADL3,Accelerometer RKN^,15,0.5
S1-ADL3,Accelerometer RKN^,11,0.36666666666666664
S1-ADL3,Accelerometer RKN^,16,0.5333333333333333
S1-ADL3,Accelerometer RKN^,16,0.5333333333333333
S1-ADL3,Accelerometer RKN^,395,13.166666666666666
S1-ADL3,Accelerometer RKN^,369,12.3
S1-ADL3,Accelerometer RKN^,8044,268.1333333333333
S1-ADL3,Accelerometer RKN^,887,29.566666666666666
S1-ADL3,Accelerometer RKN^,196,6.533333333333333
S1-ADL3,Accelerometer RKN^,18,0.6
S1-ADL3,Accelerometer RKN^,8992,299.73333333333335
S1-ADL3,Accelerometer RKN^,349,11.633333333333333
S1-ADL3,Accelerometer RKN^,577,19.233333333333334
S1-ADL3,Accelerometer RKN^,265,8.833333333333334
S1-ADL3,Accelerometer RKN^,17,0.5666666666666667
S1-ADL3,Accelerometer RKN^,92,3.066666666666667
S1-ADL3,Accelerometer RKN^,301,10.033333333333333
S1-ADL3,Accelerometer RKN^,166,5.533333333333333
S1-ADL3,Accelerometer RKN^,15,0.5
S1-ADL3,Accelerometer RKN^,238,7.933333333333334
S1-ADL3,Accelerometer RKN^,124,4.133333333333334
S1-ADL3,Accelerometer RKN^,14,0.4666666666666667
S1-ADL3,Accelerometer RKN^,1,0.03333333333333333
S1-ADL3,Accelerometer RKN^,1340,44.666666666666664
S1-ADL3,Accelerometer RKN^,1088,36.266666666666666
S1-ADL3,Accelerometer HIP,26579,885.9666666666667
S1-ADL3,Accelerometer LUA^,39,1.3
S1-ADL3,Accelerometer LUA^,38,1.2666666666666666
S1-ADL3,Accelerometer LUA^,39,1.3
S1-ADL3,Accelerometer LUA^,41,1.3666666666666667
S1-ADL3,Accelerometer LUA^,5357,178.56666666666666
S1-ADL3,Accelerometer LUA^,10,0.3333333333333333
S1-ADL3,Accelerometer LUA^,2,0.06666666666666667
S1-ADL3,Accelerometer LUA^,8,0.26666666666666666
S1-ADL3,Accelerometer LUA^,13,0.43333333333333335
S1-ADL3,Accelerometer LUA^,25972,865.7333333333333
S1-ADL3,Accelerometer LUA^,38,1.2666666666666666
S1-ADL3,Accelerometer LUA^,37,1.2333333333333334
S1-ADL3,Accelerometer LUA^,36,1.2
S1-ADL3,Accelerometer LUA^,36,1.2
S1-ADL3,Accelerometer LUA^,358,11.933333333333334
S1-ADL3,Accelerometer RUA_,40,1.3333333333333333
S1-ADL3,Accelerometer RUA_,37,1.2333333333333334
S1-ADL3,Accelerometer RUA_,41,1.3666666666666667
S1-ADL3,Accelerometer RUA_,41,1.3666666666666667
S1-ADL3,Accelerometer RUA_,5336,177.86666666666667
S1-ADL3,Accelerometer RUA_,22859,761.9666666666667
S1-ADL3,Accelerometer RUA_,143,4.766666666666667
S1-ADL3,Accelerometer RUA_,945,31.5
S1-ADL3,Accelerometer RUA_,1966,65.53333333333333
S1-ADL3,Accelerometer RUA_,38,1.2666666666666666
S1-ADL3,Accelerometer RUA_,37,1.2333333333333334
S1-ADL3,Accelerometer RUA_,36,1.2
S1-ADL3,Accelerometer RUA_,35,1.1666666666666667
S1-ADL3,Accelerometer RUA_,361,12.033333333333333
S1-ADL3,Accelerometer LH,37,1.2333333333333334
S1-ADL3,Accelerometer LH,37,1.2333333333333334
S1-ADL3,Accelerometer LH,39,1.3
S1-ADL3,Accelerometer LH,38,1.2666666666666666
S1-ADL3,Accelerometer LH,2794,93.13333333333334
S1-ADL3,Accelerometer LH,2514,83.8
S1-ADL3,Accelerometer LH,17684,589.4666666666667
S1-ADL3,Accelerometer LH,1601,53.36666666666667
S1-ADL3,Accelerometer LH,75,2.5
S1-ADL3,Accelerometer LH,1562,52.06666666666667
S1-ADL3,Accelerometer LH,3453,115.1
S1-ADL3,Accelerometer LH,2,0.06666666666666667
S1-ADL3,Accelerometer LH,1506,50.2
S1-ADL3,Accelerometer LH,38,1.2666666666666666
S1-ADL3,Accelerometer LH,34,1.1333333333333333
S1-ADL3,Accelerometer LH,32,1.0666666666666667
S1-ADL3,Accelerometer LH,33,1.1
S1-ADL3,Accelerometer LH,27,0.9
S1-ADL3,Accelerometer LH,312,10.4
S1-ADL3,Accelerometer BACK,8,0.26666666666666666
S1-ADL3,Accelerometer BACK,10,0.3333333333333333
S1-ADL3,Accelerometer BACK,9,0.3
S1-ADL3,Accelerometer BACK,51,1.7
S1-ADL3,Accelerometer BACK,26582,886.0666666666667
S1-ADL3,Accelerometer RKN_,1072,35.733333333333334
S1-ADL3,Accelerometer RKN_,1633,54.43333333333333
S1-ADL3,Accelerometer RKN_,197,6.566666666666666
S1-ADL3,Accelerometer RKN_,62,2.066666666666667
S1-ADL3,Accelerometer RKN_,14,0.4666666666666667
S1-ADL3,Accelerometer RKN_,185,6.166666666666667
S1-ADL3,Accelerometer RKN_,164,5.466666666666667
S1-ADL3,Accelerometer RKN_,90,3.0
S1-ADL3,Accelerometer RKN_,17,0.5666666666666667
S1-ADL3,Accelerometer RKN_,132,4.4
S1-ADL3,Accelerometer RKN_,23,0.7666666666666667
S1-ADL3,Accelerometer RKN_,2,0.06666666666666667
S1-ADL3,Accelerometer RKN_,20,0.6666666666666666
S1-ADL3,Accelerometer RKN_,128,4.266666666666667
S1-ADL3,Accelerometer RKN_,55,1.8333333333333333
S1-ADL3,Accelerometer RKN_,331,11.033333333333333
S1-ADL3,Accelerometer RKN_,84,2.8
S1-ADL3,Accelerometer RKN_,117,3.9
S1-ADL3,Accelerometer RKN_,260,8.666666666666666
S1-ADL3,Accelerometer RKN_,49,1.6333333333333333
S1-ADL3,Accelerometer RKN_,16,0.5333333333333333
S1-ADL3,Accelerometer RKN_,445,14.833333333333334
S1-ADL3,Accelerometer RKN_,15,0.5
S1-ADL3,Accelerometer RKN_,2780,92.66666666666667
S1-ADL3,Accelerometer RKN_,4477,149.23333333333332
S1-ADL3,Accelerometer RKN_,840,28.0
S1-ADL3,Accelerometer RKN_,495,16.5
S1-ADL3,Accelerometer RKN_,1195,39.833333333333336
S1-ADL3,Accelerometer RKN_,250,8.333333333333334
S1-ADL3,Accelerometer RKN_,8858,295.26666666666665
S1-ADL3,Accelerometer RKN_,835,27.833333333333332
S1-ADL3,Accelerometer RKN_,646,21.533333333333335
S1-ADL3,Accelerometer RKN_,304,10.133333333333333
S1-ADL3,Accelerometer RKN_,166,5.533333333333333
S1-ADL3,Accelerometer RKN_,19,0.6333333333333333
S1-ADL3,Accelerometer RKN_,2776,92.53333333333333
S1-ADL3,Accelerometer RKN_,126,4.2
