subject,session,device,kind,run_samples,run_s,boundary
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,25,0.8333333333333334,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,24,0.8,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,54,1.8,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,30,1.0,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,27,0.9,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,45,1.5,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,30,1.0,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,29,0.9666666666666667,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,29,0.9666666666666667,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,25,0.8333333333333334,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,29,0.9666666666666667,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,46,1.5333333333333334,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL1,Accelerometer RKN^,Accelerometer,431,14.366666666666667,True
S1,S1-ADL1,Accelerometer HIP,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer HIP,Accelerometer,447,14.9,True
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA^,Accelerometer,447,14.9,True
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer RUA_,Accelerometer,444,14.8,True
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,22,0.7333333333333333,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,463,15.433333333333334,False
S1,S1-ADL1,Accelerometer LH,Accelerometer,446,14.866666666666667,True
S1,S1-ADL1,Accelerometer BACK,Accelerometer,446,14.866666666666667,True
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,67,2.2333333333333334,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,28,0.9333333333333333,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,35,1.1666666666666667,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,37,1.2333333333333334,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,39,1.3,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,31,1.0333333333333334,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,31,1.0333333333333334,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,45,1.5,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,34,1.1333333333333333,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,44,1.4666666666666666,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,200,6.666666666666667,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,101,3.3666666666666667,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,127,4.233333333333333,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,176,5.866666666666666,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,230,7.666666666666667,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,70,2.3333333333333335,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,141,4.7,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,52,1.7333333333333334,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,113,3.7666666666666666,False
S1,S1-ADL1,Accelerometer RKN_,Accelerometer,397,13.233333333333333,True
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,21,0.7,False
