subject,imu,n_samples,missing_frac,n_runs,packet_level_agreement,median_run_s,p95_run_s,max_run_s
subject101,hand,376417,0.003862737336517745,1039,1.0,0.01,0.03,0.13
subject101,chest,376417,0.001352223730596652,307,1.0,0.01,0.03,0.38
subject101,ankle,376417,0.0035253455609071853,900,1.0,0.01,0.03,0.24
subject102,hand,447000,0.006105145413870246,1817,1.0,0.01,0.03,0.2
subject102,chest,447000,0.0008657718120805369,170,1.0,0.01,0.07549999999999983,0.28
subject102,ankle,447000,0.005469798657718121,1602,1.0,0.01,0.03,0.59
subject103,hand,252833,0.0020646039085087785,365,1.0,0.01,0.03,0.09
subject103,chest,252833,0.0007237979219484798,115,1.0,0.01,0.032999999999999974,0.14
subject103,ankle,252833,0.0020843798080155676,342,1.0,0.01,0.03949999999999989,0.22
subject104,hand,329576,0.00671772216423526,1260,1.0,0.01,0.04,0.12
subject104,chest,329576,0.0006462849236594897,149,1.0,0.01,0.025999999999999943,0.19
subject104,ankle,329576,0.003340655873000461,811,1.0,0.01,0.03,0.15
subject105,hand,374783,0.00411171264438355,942,1.0,0.01,0.04,0.28
subject105,chest,374783,0.0008324817294274287,181,1.0,0.01,0.04,0.27
subject105,ankle,374783,0.005283057129058682,1422,1.0,0.01,0.03,0.38
subject106,hand,361817,0.0028218685136408737,663,1.0,0.01,0.03,0.33
subject106,chest,361817,0.0009479930462084424,272,1.0,0.01,0.02,0.18
subject106,ankle,361817,0.0037919721848337696,772,1.0,0.01,0.04,0.57
subject107,hand,313599,0.004802311231859795,893,1.0,0.01,0.04,0.65
subject107,chest,313599,0.0008195179193811205,188,1.0,0.01,0.02,0.18
subject107,ankle,313599,0.0033067707486312136,762,1.0,0.01,0.03,0.19
subject108,hand,408031,0.005271658280865915,1351,1.0,0.01,0.03,0.77
subject108,chest,408031,0.003205638787249008,870,1.0,0.01,0.03,0.25
subject108,ankle,408031,0.004781499444895118,1343,1.0,0.01,0.03,0.44
subject109,hand,8477,0.000353898784947505,2,1.0,0.015,0.0195,0.02
subject109,chest,8477,0.0060162793441075856,16,1.0,0.01,0.1125,0.18
subject109,ankle,8477,0.001061696354842515,3,1.0,0.02,0.055999999999999994,0.06
