subject,device,gap_samples,gap_s
subject101,hand,14956,149.56
subject101,hand,11846,118.46
subject101,hand,6929,69.29
subject101,hand,7,0.07
subject101,hand,3065,30.65
subject101,hand,78,0.78
subject101,hand,299,2.99
subject101,hand,237,2.37
subject101,hand,302,3.02
subject101,hand,42,0.42
subject101,hand,7,0.07
subject101,hand,3811,38.11
subject101,hand,5893,58.93
subject101,hand,6984,69.84
subject101,hand,5,0.05
subject101,hand,272,2.72
subject101,hand,4019,40.19
subject101,hand,4543,45.43
subject101,hand,4361,43.61
subject101,hand,107,1.07
subject101,hand,2798,27.98
subject101,hand,2428,24.28
subject101,hand,562,5.62
subject101,hand,2655,26.55
subject101,hand,385,3.85
subject101,hand,3625,36.25
subject101,hand,1329,13.29
subject101,hand,572,5.72
subject101,hand,68,0.68
subject101,hand,3353,33.53
subject101,hand,3497,34.97
subject101,hand,3729,37.29
subject101,hand,568,5.68
subject101,hand,3417,34.17
subject101,hand,2987,29.87
subject101,hand,539,5.39
subject101,hand,5478,54.78
subject101,hand,2350,23.5
subject101,hand,4853,48.53
subject101,hand,2940,29.4
subject101,hand,120,1.2
subject101,hand,3217,32.17
subject101,hand,991,9.91
subject101,hand,5538,55.38
subject101,hand,7578,75.78
subject101,hand,456,4.56
subject101,hand,9088,90.88
subject101,hand,2,0.02
subject101,hand,1996,19.96
subject101,hand,3152,31.52
subject101,hand,941,9.41
subject101,hand,2,0.02
subject101,hand,1429,14.29
subject101,hand,1208,12.08
subject101,hand,363,3.63
subject101,hand,1602,16.02
subject101,hand,9177,91.77
subject101,hand,6,0.06
subject101,hand,2564,25.64
subject101,hand,26,0.26
subject101,hand,7603,76.03
subject101,hand,4991,49.91
subject101,hand,2383,23.83
subject101,hand,4930,49.3
subject101,hand,80,0.8
subject101,hand,1918,19.18
subject101,hand,3402,34.02
subject101,hand,771,7.71
subject101,hand,9,0.09
subject101,hand,3,0.03
subject101,hand,4531,45.31
subject101,hand,5955,59.55
subject101,hand,5,0.05
subject101,hand,1405,14.05
subject101,hand,2143,21.43
subject101,hand,10,0.1
subject101,hand,1,0.01
subject101,hand,5,0.05
subject101,hand,15,0.15
subject101,hand,153,1.53
subject101,hand,34,0.34
subject101,hand,15,0.15
subject101,hand,764,7.64
subject101,hand,44,0.44
subject101,hand,16,0.16
subject101,hand,16,0.16
subject101,hand,35,0.35
subject101,hand,50,0.5
subject101,hand,3,0.03
subject101,hand,9,0.09
subject101,hand,8,0.08
subject101,hand,94,0.94
subject101,hand,1,0.01
subject101,hand,5,0.05
subject101,hand,5,0.05
subject101,hand,11,0.11
subject101,hand,5,0.05
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,63,0.63
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,8,0.08
subject101,hand,25,0.25
subject101,hand,5,0.05
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,59,0.59
subject101,hand,21,0.21
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,16,0.16
subject101,hand,1,0.01
subject101,hand,54,0.54
subject101,hand,31,0.31
subject101,hand,2,0.02
subject101,hand,99,0.99
subject101,hand,40,0.4
subject101,hand,102,1.02
subject101,hand,95,0.95
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,9,0.09
subject101,hand,4,0.04
subject101,hand,2,0.02
subject101,hand,67,0.67
subject101,hand,47,0.47
subject101,hand,1,0.01
subject101,hand,75,0.75
subject101,hand,10,0.1
subject101,hand,2,0.02
subject101,hand,12,0.12
subject101,hand,10,0.1
subject101,hand,79,0.79
subject101,hand,127,1.27
subject101,hand,133,1.33
subject101,hand,43,0.43
subject101,hand,29,0.29
subject101,hand,2,0.02
subject101,hand,7,0.07
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,22,0.22
subject101,hand,5,0.05
subject101,hand,49,0.49
subject101,hand,10,0.1
subject101,hand,5,0.05
subject101,hand,16,0.16
subject101,hand,87,0.87
subject101,hand,10,0.1
subject101,hand,9,0.09
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,4,0.04
subject101,hand,108,1.08
subject101,hand,64,0.64
subject101,hand,39,0.39
