subject,imu,run_samples,run_s
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,8,0.08
subject101,hand,10,0.1
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,3,0.03
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,4,0.04
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,4,0.04
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,6,0.06
subject101,hand,1,0.01
subject101,hand,4,0.04
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,4,0.04
subject101,hand,5,0.05
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,5,0.05
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,4,0.04
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,5,0.05
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,4,0.04
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,5,0.05
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,8,0.08
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,4,0.04
subject101,hand,8,0.08
subject101,hand,1,0.01
subject101,hand,4,0.04
subject101,hand,8,0.08
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,5,0.05
subject101,hand,5,0.05
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,7,0.07
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,5,0.05
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,4,0.04
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,3,0.03
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,3,0.03
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,13,0.13
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,2,0.02
subject101,hand,2,0.02
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,1,0.01
subject101,hand,5,0.05
