dataset,fold,family,seed,sec
mhealth,0,fawareP,42,20
mhealth,1,fawareP,42,20
mhealth,2,fawareP,42,20
mhealth,3,fawareP,42,20
mhealth,4,fawareP,42,20
mhealth,5,fawareP,42,20
mhealth,6,fawareP,42,20
mhealth,7,fawareP,42,20
mhealth,8,fawareP,42,20
mhealth,9,fawareP,42,20
pamap2,0,fawareP,42,106
pamap2,1,fawareP,42,106
pamap2,2,fawareP,42,111
pamap2,3,fawareP,42,108
pamap2,4,fawareP,42,105
pamap2,5,fawareP,42,106
pamap2,6,fawareP,42,108
pamap2,7,fawareP,42,106
opportunity,0,fawareP,42,48
opportunity,1,fawareP,42,49
opportunity,2,fawareP,42,46
opportunity,3,fawareP,42,50
mhealth,0,fawareB,42,27
mhealth,1,fawareB,42,27
mhealth,2,fawareB,42,27
mhealth,3,fawareB,42,27
mhealth,4,fawareB,42,27
mhealth,5,fawareB,42,27
mhealth,6,fawareB,42,27
mhealth,7,fawareB,42,27
mhealth,8,fawareB,42,27
mhealth,9,fawareB,42,26
pamap2,0,fawareB,42,159
pamap2,1,fawareB,42,157
pamap2,2,fawareB,42,172
pamap2,3,fawareB,42,163
pamap2,4,fawareB,42,161
pamap2,5,fawareB,42,161
pamap2,6,fawareB,42,163
pamap2,7,fawareB,42,160
opportunity,0,fawareB,42,109
opportunity,1,fawareB,42,112
opportunity,2,fawareB,42,111
opportunity,3,fawareB,42,121
